# Typealike Interactions
#<time>,E,experiment,{type:start, participantid:<participantId>, study:<studyId>, datetime:<time>}
#<time>,E,experiment,{type:end, participantid:<participantId>, score:<score>, datetime:<time>, duration:<duration>}
#<time>,E,block,{type:start, num:<blockNum>, numBlocks:<numBlocks>, datetime:<time>}
#<time>,E,block,{type:end, num:<blockNum>, datetime:<time>, duration:<numSeconds>}
#<time>,E,sequence,{type:start, blockNum:<blockNum>, num:<sequenceNum>, datetime:<time>, taskOrder:<taskOrderIndex>}
#<time>,E,sequence,{type:end, num:<sequenceNum>, datetime:<time>, duration:<numSeconds>}
#<time>,E,trial,{type:start, label:<labelName>, targetType:<targetType>, datetime:<time>, sequenceNum:<sequenceNum>, blockNum:<blockNum>, num:<targetNum>, startX:<startX>, startY:<startY>, width:<targetWidth>, height:<targetHeight>}
#<time>,E,trial,{type:end, label:<labelName>, action:<hit/miss>, targetType:<targetType>, num:<taskNum>, blockNum:<blockNum>, sequenceNum:<sequenceNum>, datetime:<time>, duration:<numSeconds>}
#<time>,M,video, datetime:<time>
# schema,{type:I, subtype:key, data:[event, keyname, modifierkey], type:[str,str], description:[<pressed/released>, <keycode>, <Shift/Ctrl/Alt/none>] }
# schema,{type:I, subtype:mouse, data:[event, x, y], type:[str, int,int], description:[moved/pressed/released,<x-coordinate>,<y-coordinate>]}
# schema,{type:I, subtype:posture, data:[name], type:[str], description:[<posture name>] }
# START LOG
1564252191073,E,experiment,{"type":"start","participantid":"participant_16","study":"one","datetime":"2019-07-27T18:29:51.053Z"}
1564252191129,E,block,{"type":"start","num":"0","numBlocks":"1","datetime":"2019-07-27T18:29:51.129Z"}
1564252247497,M,video,{"datetime":"2019-07-27T18:30:47.497Z"}
1564252247530,M,video,{"datetime":"2019-07-27T18:30:47.530Z"}
1564252247564,M,video,{"datetime":"2019-07-27T18:30:47.564Z"}
1564252247597,M,video,{"datetime":"2019-07-27T18:30:47.596Z"}
1564252247631,M,video,{"datetime":"2019-07-27T18:30:47.631Z"}
1564252247662,M,video,{"datetime":"2019-07-27T18:30:47.662Z"}
1564252247695,M,video,{"datetime":"2019-07-27T18:30:47.695Z"}
1564252247731,M,video,{"datetime":"2019-07-27T18:30:47.731Z"}
1564252247763,M,video,{"datetime":"2019-07-27T18:30:47.763Z"}
1564252247798,M,video,{"datetime":"2019-07-27T18:30:47.798Z"}
1564252247831,M,video,{"datetime":"2019-07-27T18:30:47.831Z"}
1564252247863,M,video,{"datetime":"2019-07-27T18:30:47.863Z"}
1564252247898,M,video,{"datetime":"2019-07-27T18:30:47.898Z"}
1564252247931,M,video,{"datetime":"2019-07-27T18:30:47.931Z"}
1564252247964,M,video,{"datetime":"2019-07-27T18:30:47.964Z"}
1564252247999,M,video,{"datetime":"2019-07-27T18:30:47.999Z"}
1564252248029,M,video,{"datetime":"2019-07-27T18:30:48.029Z"}
1564252248066,M,video,{"datetime":"2019-07-27T18:30:48.066Z"}
1564252248096,M,video,{"datetime":"2019-07-27T18:30:48.096Z"}
1564252248128,M,video,{"datetime":"2019-07-27T18:30:48.128Z"}
1564252248167,M,video,{"datetime":"2019-07-27T18:30:48.167Z"}
1564252248195,M,video,{"datetime":"2019-07-27T18:30:48.195Z"}
1564252248231,M,video,{"datetime":"2019-07-27T18:30:48.231Z"}
1564252248261,M,video,{"datetime":"2019-07-27T18:30:48.261Z"}
1564252248297,M,video,{"datetime":"2019-07-27T18:30:48.297Z"}
1564252248330,M,video,{"datetime":"2019-07-27T18:30:48.330Z"}
1564252248366,M,video,{"datetime":"2019-07-27T18:30:48.366Z"}
1564252248398,M,video,{"datetime":"2019-07-27T18:30:48.398Z"}
1564252248432,M,video,{"datetime":"2019-07-27T18:30:48.432Z"}
1564252248463,M,video,{"datetime":"2019-07-27T18:30:48.463Z"}
1564252248496,M,video,{"datetime":"2019-07-27T18:30:48.495Z"}
1564252248533,M,video,{"datetime":"2019-07-27T18:30:48.533Z"}
1564252248562,M,video,{"datetime":"2019-07-27T18:30:48.562Z"}
1564252248597,M,video,{"datetime":"2019-07-27T18:30:48.597Z"}
1564252248631,M,video,{"datetime":"2019-07-27T18:30:48.631Z"}
1564252248663,M,video,{"datetime":"2019-07-27T18:30:48.663Z"}
1564252248698,M,video,{"datetime":"2019-07-27T18:30:48.698Z"}
1564252248729,M,video,{"datetime":"2019-07-27T18:30:48.729Z"}
1564252248766,M,video,{"datetime":"2019-07-27T18:30:48.766Z"}
1564252248795,M,video,{"datetime":"2019-07-27T18:30:48.795Z"}
1564252248833,M,video,{"datetime":"2019-07-27T18:30:48.833Z"}
1564252248862,M,video,{"datetime":"2019-07-27T18:30:48.862Z"}
1564252248897,M,video,{"datetime":"2019-07-27T18:30:48.897Z"}
1564252248929,M,video,{"datetime":"2019-07-27T18:30:48.929Z"}
1564252248963,M,video,{"datetime":"2019-07-27T18:30:48.963Z"}
1564252248997,M,video,{"datetime":"2019-07-27T18:30:48.997Z"}
1564252249032,M,video,{"datetime":"2019-07-27T18:30:49.032Z"}
1564252249063,M,video,{"datetime":"2019-07-27T18:30:49.063Z"}
1564252249096,M,video,{"datetime":"2019-07-27T18:30:49.096Z"}
1564252249129,M,video,{"datetime":"2019-07-27T18:30:49.129Z"}
1564252249162,M,video,{"datetime":"2019-07-27T18:30:49.162Z"}
1564252249177,E,trial,{"type":"end","label":"Both_Close_0_On","action":"miss","currScore":"0","targetType":"two_hand_posture","num":"0","sequenceNum":"0","blockNum":"0","datetime":"2019-07-27T18:30:49.174Z","duration":"PT6.016S"}
1564252249197,M,video,{"datetime":"2019-07-27T18:30:49.197Z"}
1564252249198,E,sequence,{"type":"end","num":"1","datetime":"2019-07-27T18:30:49.197Z","duration":"PT6.039S"}
1564252249198,E,sequence,{"type":"start","blockNum":"0","num":"1","taskOrder":"1","datetime":"2019-07-27T18:30:49.198Z"}
1564252249198,E,trial,{"type":"start","label":"Both_Close_90_On","targetType":"two_hand_posture","sequenceNum":"1","blockNum":"0","num":"0","startX":"590","startY":"0","width":"100","height":"100","datetime":"2019-07-27T18:30:49.198Z"}
1564252249234,M,video,{"datetime":"2019-07-27T18:30:49.234Z"}
1564252249264,M,video,{"datetime":"2019-07-27T18:30:49.264Z"}
1564252249295,M,video,{"datetime":"2019-07-27T18:30:49.295Z"}
