frame= 2665 fps= 30 q=21.0 size=   85248kB time=00:01:26.86 bitrate=8039.3kbits/s speed=0.978x    
frame= 2681 fps= 30 q=21.0 size=   85760kB time=00:01:27.40 bitrate=8038.3kbits/s speed=0.979x    
frame= 2697 fps= 30 q=21.0 size=   86272kB time=00:01:27.93 bitrate=8037.2kbits/s speed=0.979x    
frame= 2713 fps= 30 q=21.0 size=   86784kB time=00:01:28.46 bitrate=8036.2kbits/s speed=0.979x    
frame= 2729 fps= 30 q=21.0 size=   87296kB time=00:01:29.00 bitrate=8035.2kbits/s speed=0.979x    
frame= 2745 fps= 30 q=21.0 size=   87808kB time=00:01:29.53 bitrate=8034.1kbits/s speed=0.979x    
frame= 2761 fps= 30 q=21.0 size=   88064kB time=00:01:30.06 bitrate=8009.8kbits/s speed=0.979x    
frame= 2776 fps= 30 q=21.0 size=   88576kB time=00:01:30.56 bitrate=8011.9kbits/s speed=0.979x    
frame= 2791 fps= 30 q=21.0 size=   89088kB time=00:01:31.06 bitrate=8014.0kbits/s speed=0.979x    
frame= 2807 fps= 30 q=21.0 size=   89600kB time=00:01:31.60 bitrate=8013.1kbits/s speed=0.98x    
frame= 2823 fps= 30 q=21.0 size=   90112kB time=00:01:32.13 bitrate=8012.3kbits/s speed=0.98x    
frame= 2839 fps= 30 q=21.0 size=   90624kB time=00:01:32.66 bitrate=8011.4kbits/s speed=0.98x    
frame= 2855 fps= 30 q=21.0 size=   90880kB time=00:01:33.20 bitrate=7988.1kbits/s speed=0.98x    
frame= 2870 fps= 30 q=21.0 size=   91392kB time=00:01:33.70 bitrate=7990.2kbits/s speed=0.98x    
frame= 2886 fps= 30 q=21.0 size=   91904kB time=00:01:34.23 bitrate=7989.5kbits/s speed=0.98x    
frame= 2901 fps= 30 q=21.0 size=   92416kB time=00:01:34.73 bitrate=7991.6kbits/s speed=0.98x    
frame= 2916 fps= 30 q=21.0 size=   92672kB time=00:01:35.23 bitrate=7971.7kbits/s speed=0.98x    
frame= 2932 fps= 30 q=21.0 size=   93184kB time=00:01:35.76 bitrate=7971.1kbits/s speed=0.98x    
frame= 2948 fps= 30 q=21.0 size=   93696kB time=00:01:36.30 bitrate=7970.5kbits/s speed=0.98x    
frame= 2964 fps= 30 q=21.0 size=   94208kB time=00:01:36.83 bitrate=7969.9kbits/s speed=0.981x    
frame= 2980 fps= 30 q=21.0 size=   94720kB time=00:01:37.36 bitrate=7969.3kbits/s speed=0.981x    
frame= 2995 fps= 30 q=21.0 size=   94976kB time=00:01:37.86 bitrate=7950.0kbits/s speed=0.981x    
frame= 3011 fps= 30 q=21.0 size=   95488kB time=00:01:38.40 bitrate=7949.6kbits/s speed=0.981x    
frame= 3026 fps= 30 q=21.0 size=   96000kB time=00:01:38.90 bitrate=7951.8kbits/s speed=0.981x    
frame= 3042 fps= 30 q=21.0 size=   96512kB time=00:01:39.43 bitrate=7951.3kbits/s speed=0.981x    
frame= 3058 fps= 30 q=21.0 size=   97024kB time=00:01:39.96 bitrate=7950.9kbits/s speed=0.981x    
frame= 3073 fps= 30 q=21.0 size=   97536kB time=00:01:40.46 bitrate=7953.0kbits/s speed=0.981x    
frame= 3089 fps= 30 q=21.0 size=   97792kB time=00:01:41.00 bitrate=7931.8kbits/s speed=0.981x    
frame= 3104 fps= 30 q=21.0 size=   98304kB time=00:01:41.50 bitrate=7934.1kbits/s speed=0.981x    
frame= 3120 fps= 30 q=21.0 size=   98816kB time=00:01:42.03 bitrate=7933.7kbits/s speed=0.982x    
frame= 3136 fps= 30 q=21.0 size=   99328kB time=00:01:42.56 bitrate=7933.3kbits/s speed=0.982x    
frame= 3152 fps= 30 q=21.0 size=   99840kB time=00:01:43.10 bitrate=7933.0kbits/s speed=0.982x    
frame= 3167 fps= 30 q=21.0 size=  100096kB time=00:01:43.60 bitrate=7914.9kbits/s speed=0.982x    
