,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Reference_Task
149,participant_31,1,2,2,149,posture,Left_Close_0_Beside,1567119382013,1567119383288,1567119383288,1307,1258,2565,28,0,False,Beside,180,Close,Left,click
150,participant_31,1,2,3,150,word,write,1567119383311,1567119385748,1567119384546,1258,2247,3505,0,0,False,NA,NA,NA,NA,NA
151,participant_31,1,2,3,151,posture,Left_Close_90_On,1567119385780,1567119386793,1567119386793,2247,1188,3435,24,4,False,On,90,Close,Left,word
152,participant_31,1,2,4,152,word,niece,1567119386810,1567119389081,1567119387981,1188,2144,3332,0,0,False,NA,NA,NA,NA,NA
153,participant_31,1,2,4,153,posture,Left_Close_90_Below,1567119389113,1567119390125,1567119390125,2144,1721,3865,20,1,False,Below,90,Close,Left,word
154,participant_31,1,2,5,154,click,click me,1567119390145,1567119391846,1567119391846,1721,1277,2998,0,0,False,NA,NA,NA,NA,NA
155,participant_31,1,2,5,155,posture,Left_Close_90_Beside,1567119391880,1567119393123,1567119393123,1277,1121,2398,28,0,False,Beside,90,Close,Left,click
156,participant_31,1,2,6,156,word,loves,1567119393145,1567119395015,1567119394244,1121,2215,3336,0,0,False,NA,NA,NA,NA,NA
157,participant_31,1,2,6,157,posture,Left_Close_180_On,1567119395045,1567119396459,1567119396459,2215,1718,3933,19,13,False,On,0,Close,Left,word
158,participant_31,1,2,7,158,click,click me,1567119396477,1567119398177,1567119398177,1718,1215,2933,0,0,False,NA,NA,NA,NA,NA
159,participant_31,1,2,7,159,posture,Left_Close_180_Below,1567119398214,1567119399392,1567119399392,1215,1323,2538,25,8,False,Below,0,Close,Left,click
160,participant_31,1,2,8,160,click,click me,1567119399413,1567119400715,1567119400715,1323,1646,2969,0,0,False,NA,NA,NA,NA,NA
161,participant_31,1,2,8,161,posture,Left_Close_180_Beside,1567119400746,1567119402361,1567119402361,1646,1353,2999,25,4,False,Beside,0,Close,Left,click
162,participant_31,1,2,9,162,word,Young,1567119402378,1567119404581,1567119403714,1353,2011,3364,0,0,False,NA,NA,NA,NA,NA
163,participant_31,1,2,9,163,posture,Left_Open_0_On,1567119404614,1567119405725,1567119405725,2011,1256,3267,29,0,False,On,180,Open,Left,word
164,participant_31,1,2,10,164,word,tread,1567119405745,1567119408147,1567119406981,1256,2415,3671,0,0,False,NA,NA,NA,NA,NA
165,participant_31,1,2,10,165,posture,Left_Open_0_Below,1567119408178,1567119409396,1567119409396,2415,1684,4099,28,3,False,Below,180,Open,Left,word
166,participant_31,1,2,11,166,click,click me,1567119409410,1567119411080,1567119411080,1684,1275,2959,0,0,False,NA,NA,NA,NA,NA
167,participant_31,1,2,11,167,posture,Left_Open_0_Beside,1567119411110,1567119412355,1567119412355,1275,1224,2499,23,0,False,Beside,180,Open,Left,click
168,participant_31,1,2,12,168,word,sixty,1567119412379,1567119414747,1567119413579,1224,2527,3751,0,0,False,NA,NA,NA,NA,NA
169,participant_31,1,2,12,169,posture,Left_Open_90_On,1567119414779,1567119416106,1567119416106,2527,1356,3883,18,4,False,On,90,Open,Left,word
170,participant_31,1,2,13,170,click,click me,1567119416125,1567119417462,1567119417462,1356,1008,2364,0,0,False,NA,NA,NA,NA,NA
171,participant_31,1,2,13,171,posture,Left_Open_90_Below,1567119417493,1567119418470,1567119418470,1008,1391,2399,21,4,False,Below,90,Open,Left,click
172,participant_31,1,2,14,172,word,you'd,1567119418493,1567119421359,1567119419861,1391,2747,4138,0,0,False,NA,NA,NA,NA,NA
173,participant_31,1,2,14,173,posture,Left_Open_90_Beside,1567119421392,1567119422608,1567119422608,2747,1188,3935,22,8,False,Beside,90,Open,Left,word
174,participant_31,1,2,15,174,click,click me,1567119422626,1567119423796,1567119423796,1188,1308,2496,0,0,False,NA,NA,NA,NA,NA
175,participant_31,1,2,15,175,posture,Left_Open_180_On,1567119423829,1567119425104,1567119425104,1308,1290,2598,24,0,False,On,0,Open,Left,click
176,participant_31,1,2,16,176,word,clams,1567119425126,1567119427128,1567119426394,1290,1877,3167,0,0,False,NA,NA,NA,NA,NA
177,participant_31,1,2,16,177,posture,Left_Open_180_Below,1567119427158,1567119428271,1567119428271,1877,1226,3103,19,5,False,Below,0,Open,Left,word
178,participant_31,1,2,17,178,word,cruel,1567119428293,1567119430460,1567119429497,1226,3508,4734,0,0,False,NA,NA,NA,NA,NA
179,participant_31,1,2,17,179,posture,Left_Open_180_Beside,1567119430492,1567119433005,1567119433005,3508,1524,5032,21,21,False,Beside,0,Open,Left,word
180,participant_31,1,2,18,180,click,click me,1567119433025,1567119434529,1567119434529,1524,1311,2835,0,0,False,NA,NA,NA,NA,NA
181,participant_31,1,2,18,181,posture,Right_Close_0_On,1567119434563,1567119435840,1567119435840,1311,1455,2766,30,4,False,On,180,Close,Right,click
182,participant_31,1,2,19,182,click,click me,1567119435859,1567119437295,1567119437295,1455,4243,5698,0,0,False,NA,NA,NA,NA,NA
183,participant_31,1,2,19,183,posture,Right_Close_0_Below,1567119437328,1567119441538,1567119441538,4243,1122,5365,30,0,False,Below,180,Close,Right,click
184,participant_31,1,2,20,184,word,lying,1567119441559,1567119445797,1567119442660,1122,4444,5566,0,0,False,NA,NA,NA,NA,NA
