,Participant,Block,Sequence,Sub_Sequence,Trial,Target_Type,Target_Name,Start_Time,End_Time,First_Reaction_Time,Mode_In_Time,Mode_Out_Time,Execution_Time,Completion_Time,Reference_Action_Count,Incorrect_Action_Count,Error,IV_Surface,IV_Orientation,IV_Form,IV_Hand,Previous_Reference_Task,Next_Reference_Task
329,participant_31,2,4,20,329,posture,Right_Close_0_Beside,1567119723133,1567119724218,1567119724218,2446,1319,3765,1085,24,3,False,Beside,0,Close,Dominant,word,click
331,participant_31,2,4,21,331,posture,Right_Close_90_On,1567119725570,1567119726747,1567119726747,1210,1222,2432,1177,28,0,False,On,90,Close,Dominant,click,word
333,participant_31,2,4,22,333,posture,Right_Close_90_Below,1567119728772,1567119729851,1567119729851,1882,1086,2968,1079,24,7,False,Below,90,Close,Dominant,word,click
335,participant_31,2,4,23,335,posture,Right_Close_90_Beside,1567119730969,1567119732114,1567119732114,1177,1331,2508,1145,23,4,False,Beside,90,Close,Dominant,click,click
337,participant_31,2,4,24,337,posture,Right_Close_180_On,1567119733471,1567119734545,1567119734545,1100,1492,2592,1074,24,4,False,On,180,Close,Dominant,click,click
339,participant_31,2,4,25,339,posture,Right_Close_180_Below,1567119736069,1567119737249,1567119737249,1212,1089,2301,1180,21,3,False,Below,180,Close,Dominant,click,word
341,participant_31,2,4,26,341,posture,Right_Close_180_Beside,1567119739203,1567119740314,1567119740314,1976,1254,3230,1111,15,14,False,Beside,180,Close,Dominant,word,click
343,participant_31,2,4,27,343,posture,Right_Open_0_On,1567119741602,1567119743147,1567119743147,1579,1259,2838,1545,28,0,False,On,0,Open,Dominant,click,word
345,participant_31,2,4,28,345,posture,Right_Open_0_Below,1567119745502,1567119746681,1567119746681,2275,1056,3331,1179,24,8,False,Below,0,Open,Dominant,word,word
347,participant_31,2,4,29,347,posture,Right_Open_0_Beside,1567119748602,1567119749717,1567119749717,1980,1120,3100,1115,14,12,False,Beside,0,Open,Dominant,word,click
349,participant_31,2,4,30,349,posture,Right_Open_90_On,1567119750871,1567119751917,1567119751917,1080,1788,2868,1046,25,4,False,On,90,Open,Dominant,click,word
351,participant_31,2,4,31,351,posture,Right_Open_90_Below,1567119755370,1567119756748,1567119756748,3043,1223,4266,1378,19,8,False,Below,90,Open,Dominant,word,word
353,participant_31,2,4,32,353,posture,Right_Open_90_Beside,1567119758802,1567119759848,1567119759848,1877,1589,3466,1046,19,8,False,Beside,90,Open,Dominant,word,click
355,participant_31,2,4,33,355,posture,Right_Open_180_On,1567119761472,1567119762681,1567119762681,1244,1225,2469,1209,24,8,False,On,180,Open,Dominant,click,word
357,participant_31,2,4,34,357,posture,Right_Open_180_Below,1567119764969,1567119766316,1567119766316,2410,1357,3767,1347,27,8,False,Below,180,Open,Dominant,word,click
361,participant_31,2,5,0,361,shortcut,O,1567119805771,1567119807573,1567119807573,1832,98,1930,1802,0,0,False,shortcut,shortcut,shortcut,shortcut,click,word
